URL,title,meta_description,h1,canonical,schema_type,primary_keyword
https://swapmyskill.com,"Skill Exchange Platform â€” Trade Skills, Not Money | SwapMySkill","Exchange skills for free on our platform. Trade your talents for new ones without spending money. Join thousands of skilled professionals!","SwapMySkill - Trade Skills, Not Money",https://swapmyskill.com/,WebSite,"skill exchange platform"
https://swapmyskill.com/skills,"Browse Digital Skills | Complete Directory | SwapMySkill","Discover our complete directory of digital skills for exchange. Find partners to trade your talents for new ones. Browse categories now!","Browse All Digital Skills",https://swapmyskill.com/skills,ItemList,"browse digital skills"
https://swapmyskill.com/legal,"Terms & Privacy Policy | Legal Agreement | SwapMySkill","Read our terms of service and privacy policy. Understand how we protect your data and your rights on our skill exchange platform.","Legal Terms & Privacy Policy",https://swapmyskill.com/legal,Article,"terms and privacy policy"
https://swapmyskill.com/auth,"Authentication | Sign Up or Log In | SwapMySkill","Sign up or log in to your SwapMySkill account to start exchanging skills. Access your dashboard and begin trading talents today.","Authentication",https://swapmyskill.com/auth,WebPage,"user authentication"
https://swapmyskill.com/dashboard,"Dashboard | Manage Your Skills | SwapMySkill","Your SwapMySkill dashboard - manage your skills and exchanges. Track ongoing trades and connect with other members.","Dashboard",https://swapmyskill.com/dashboard,WebPage,"user dashboard"
https://swapmyskill.com/profile,"Profile | Your SwapMySkill Account","Manage your SwapMySkill profile information. Update your skills and preferences.","Profile",https://swapmyskill.com/profile,WebPage,"user profile"
https://swapmyskill.com/chat,"Chat | Connect With Partners | SwapMySkill","Chat with your skill exchange partners on SwapMySkill. Discuss projects and coordinate exchanges.","Chat",https://swapmyskill.com/chat,WebPage,"skill exchange chat"
https://swapmyskill.com/contacts,"Contact Us | Get In Touch | SwapMySkill","Get in touch with the SwapMySkill team. Have questions or feedback? We'd love to hear from you.","Contact Us",https://swapmyskill.com/contacts,WebPage,"contact us"
https://swapmyskill.com/design,"Design System | UI Components | SwapMySkill","Explore our design system components, tokens, and patterns. A showcase of our UI elements and design principles.","Design System",https://swapmyskill.com/design,WebPage,"design system"
https://swapmyskill.com/profile-setup,"Profile Setup | Complete Your Profile | SwapMySkill","Complete your profile to start exchanging skills on SwapMySkill. Add your skills and preferences.","Profile Setup",https://swapmyskill.com/profile-setup,WebPage,"profile setup"